e1,e2,all
db00014,"['db00014', 'db00644', 'db00183', 'db06196', 'db00666', 'db06699']","['db00014', 'db00014', 'db00644', 'db00183', 'db06196', 'db00666', 'db06699', 'c0014130', 'c0041834', 'c0030252', 'c0751295', 'c0035455', 'c0005826', 'c0013144', 'c0019158', 'c0085649', 'c0020473', 'c0002962', 'c0018418', 'c0008031', 'c0010709', 'c0023218', 'c0021053', 'c0010692', 'c0271650', 'c0029927', 'c0024117', 'c0242350', 'c0232462', 'c0600142', 'c0011991', 'c0031350', 'c1522133', 'c0178298', 'c0085129', 'c0018801', 'c0011570', 'c0153690', 'c0520589', 'c0016658', 'c0003811', 'c0021167', 'c0574770', 'c0038990', 'c0015230', 'c0024236', 'c0919715', 'c0033774', 'c0037274', 'c0036974', 'c0040046', 'c0015397', 'c0080274', 'c0151825', 'c0021177', 'c0235874', 'c0002453', 'c0018099', 'c0740394', 'c0149871', 'c0013404', 'c0235416', 'c0006145', 'c0233494', 'c0038999', 'c0005695', 'c0020517', 'c0033246', 'c1443060', 'c0043094', 'c0020456', 'c0855242', 'c0018802', 'c0240417', 'c0039971', 'c0342405', 'c0002170', 'c0026826', 'c1306341', 'c0037199', 'c0028259', 'c0032285', 'c0020443', 'c0151511', 'c0018500', 'c1268766', 'c2047937', 'c0006277', 'c0086565', 'c0011849', 'c0149931', 'c0030193', 'c0006152', 'c0042133', 'c0014591', 'c0012833', 'c0085633', 'c0042373', 'c1142412', 'c0020649', 'c0002622', 'c0019572', 'c0032019', 'c0003123', 'c0241633', 'c0043352', 'c0041969', 'c0344232', 'c0702166', 'c0009676', 'c0019348', 'c0003862', 'c0022408', 'c0016655', 'c0002418', 'c0042029', 'c0015376', 'c0042267', 'c0018799', 'c0278061', 'c0042998', 'c0151691', 'c0028866', 'c0948594', 'c0236075', 'c0023380', 'c0027051', 'c0403632', 'c0035078', 'c0038454', 'c0029456', 'c0085083', 'c0030554', 'c0233632', 'c0034065', 'c0027497', 'c2981158', 'c0016204', 'c0151505', 'c0028734', 'c0234215', 'c0004604', 'c0521498', 'c0020437', 'c0033975', 'c0549405', 'c0018965', 'c0019360', 'c0039231', 'c0595930', 'c0013428', 'c0085298', 'c0011124', 'c0009450', 'c0917798', 'c0854069', 'c0151907', 'c0042024', 'c0151908', 'c2830004', 'c0036572', 'c0404521', 'c0013390', 'c0037763', 'c0262397', 'c0003467', 'c0029408', 'c0007787', 'c0023530', 'c0021400', 'c0027651', 'c0877225', 'c1565489', 'c0018926', 'c0029089', 'c0015672', 'c0746883', 'c0040034', 'c0002871', 'c0085096', 'c0030794', 'c0241357', 'c0020458', 'c0151735', 'c0027765', 'c0004936', 'c0041912', 'c0013491', 'c0948089', 'c0042401', 'c0231528', 'c0011603', 'c0004093', 'c0042075', 'c0013395', 'c0020538', 'c0851578', 'c0032584', 'c0231365', 'c0018681', 'c0000737', 'c0574067', 'c0042963', 'c0234233', 'c0024902', 'c0042109', 'c0853891', 'c0162830', 'c0231218', 'c0005940', 'c0549622', 'c0022346', 'c2225524', 'c0032000', 'c0032001', 'c0314719', 'c0002792', 'c0041582', 'c0549399', 'c0025323', 'c0042023', 'c0574785', 'c0036508', 'c0243026', 'c0085593', 'c0232849', 'c0559546', 'c3495440', 'c0342406', 'c0853117', 'c0518015', 'c0042134', 'c0013182', 'c0496901', 'c0235660', 'c0021308', 'c0232461', 'c0042345', 'c0041956', 'c0687713', 'c1384606', 'c0151885', 'c2979982', 'c0025874', 'c0151995', 'c0162429', 'c0010200', 'c0013604', 'c0019080', 'c0027769', 'c0009806', 'c0233472', 'c0267596', 'c0015967', 'c0037926', 'c0917801']"
db00035,"['db00035', 'db00666', 'db00104', 'db00644', 'db01282', 'db00626']","['db00035', 'db00035', 'db00666', 'db00104', 'db00644', 'db01282', 'db00626', 'c0021053', 'c0231528', 'c0233494', 'c0020458', 'c0235996', 'c0234230', 'c2047937', 'c0009763', 'c0037274', 'c0242429', 'c0039231', 'c0233632', 'c0268000', 'c0857122', 'c0020621', 'c0039070', 'c0011175', 'c0020517', 'c0008031', 'c0232461', 'c0085633', 'c0015230', 'c0025061', 'c0041912', 'c0000729', 'c0030252', 'c0232826', 'c0018681', 'c0178298', 'c0010200', 'c0521839', 'c0001807', 'c0042075', 'c0042401', 'c0004936', 'c0011570', 'c0009806', 'c0855624', 'c0009782', 'c0009676', 'c0687133', 'c0011991', 'c0026821', 'c0037763', 'c0687713', 'c0043094', 'c0011615', 'c0020651', 'c0030554', 'c0028084', 'c0004093', 'c0233514', 'c3665347', 'c0040053', 'c0155626', 'c0020488', 'c0000737', 'c0043144', 'c0035243', 'c0038999', 'c0041969', 'c0003467', 'c0085649', 'c0424295', 'c1168188', 'c0042373', 'c0036572', 'c0017160', 'c0085593', 'c0042963', 'c0013395', 'c0860603', 'c0021400', 'c0018524', 'c0042571', 'c0549405', 'c0022107', 'c0028961', 'c0948594', 'c0549249', 'c2830004', 'c0009421', 'c0917801', 'c0743680', 'c0857236', 'c0035455', 'c0043049', 'c0151904', 'c2363730', 'c0085631', 'c0030193', 'c0858259', 'c0542203', 'c0423729', 'c0015672', 'c0000731', 'c0017178', 'c0016204', 'c0020625', 'c0233472', 'c0013985', 'c0013404', 'c0003123', 'c0015397', 'c1268766', 'c0009450', 'c0027769', 'c0018799', 'c0036974', 'c1306341', 'c0004690', 'c0232462', 'c0233459', 'c0042109', 'c0020538', 'c0150450', 'c1142412', 'c1291077', 'c0027497', 'c0002792', 'c2363731', 'c0233794', 'c0033774', 'c0013604', 'c0233414', 'c0011603', 'c0012833', 'c0014394', 'c0344315', 'c0231218', 'c0234215', 'c0027424', 'c0041834', 'c0027765', 'c0016382', 'c0038990', 'c0015967', 'c0021141', 'c0014591', 'c1443060', 'c0162429', 'c0041657']"
db00050,"['db00050', 'db00014', 'db00666', 'db06699', 'db00644']","['db00050', 'db00050', 'db00014', 'db00666', 'db06699', 'db00644', 'c0332575', 'c0018818', 'c0013080', 'c0027960', 'c0015230', 'c0853813', 'c0011603', 'c0038999', 'c0000768', 'c0017601', 'c0002792', 'c0266011', 'c0424605', 'c0595939', 'c0022735', 'c0033774', 'c0010200', 'c0152096', 'c0027962', 'c0020517', 'c0041834', 'c0340865', 'c0019284', 'c0236075', 'c0151735', 'c0085083', 'c0018681', 'c0521305', 'c0015914', 'c0021053', 'c0020649', 'c0152436', 'c0009938', 'c0029928', 'c0600142', 'c0002902', 'c0020302', 'c0027497']"
db00091,['db00091'],"['db00091', 'db00091', 'c0232492', 'c0036690', 'c0042029', 'c0002170', 'c0232459', 'c0037199', 'c0009421', 'c0013378', 'c0085593', 'c0344232', 'c1720775', 'c0267792', 'c0021177', 'c0016436', 'c0085648', 'c0020569', 'c0236075', 'c0011570', 'c0038362', 'c0008031', 'c1145628', 'c0008370', 'c1443060', 'c0040034', 'c2712871', 'c1305875', 'c1761613', 'c0019348', 'c0022593', 'c0041909', 'c0020453', 'c0221512', 'c0017565', 'c0019521', 'c0267596', 'c0007642', 'c0020555', 'c0151578', 'c0426576', 'c2242588', 'c0152025', 'c0020458', 'c0235818', 'c3160741', 'c0019080', 'c0027769', 'c0040435', 'c0232462', 'c0006266', 'c0042594', 'c0020678', 'c0006145', 'c0035078', 'c0023530', 'c0160390', 'c0017566', 'c0042023', 'c0030353', 'c0155320', 'c0027497', 'c0235198', 'c0035455', 'c0677500', 'c0547030', 'c1266194', 'c0392171', 'c0877042', 'c3160858', 'c0002792', 'c0025061', 'c0152227', 'c0006840', 'c0236171', 'c0151723', 'c0151718', 'c0001339', 'c0032617', 'c0855242', 'c0020517', 'c0007097', 'c1167965', 'c0017563', 'c0857305', 'c0030920', 'c0016382', 'c0011603', 'c0027651', 'c0003873', 'c0004623', 'c0235086', 'c0019829', 'c0020538', 'c0151908', 'c0159056', 'c0007222', 'c0086543', 'c0032584', 'c0006277', 'c0024305', 'c0243026', 'c0013447', 'c0748052', 'c2830004', 'c0013395', 'c0030193', 'c0042373', 'c0018965', 'c0023380', 'c0019360', 'c1696946', 'c1565489', 'c0011124', 'c0333641', 'c0016658', 'c0948525', 'c0518015', 'c0700225', 'c0017574', 'c0000737', 'c0231218', 'c0019158', 'c0233414', 'c0549463', 'c0040425', 'c1698088', 'c0813230', 'c0085624', 'c0700590', 'c0227791', 'c0232807', 'c0012833', 'c0029408', 'c0015967', 'c0600142', 'c0151936', 'c1384666', 'c0011168', 'c0003811', 'c0497156', 'c0085606', 'c0442874', 'c0577822', 'c0026848', 'c0233407', 'c0085633', 'c0022408', 'c0002871', 'c0687713', 'c0006444', 'c0020580', 'c0149931', 'c0948594', 'c0009763', 'c0017178', 'c0748318', 'c0595916', 'c0036572', 'c0085932', 'c0151465', 'c0041969', 'c0024314', 'c0003123', 'c0043096', 'c0028778', 'c0009676', 'c0599918', 'c0151786', 'c0027339', 'c0851341', 'c0004093', 'c0014591', 'c0948089', 'c0018021', 'c0035222', 'c0010200', 'c0231528', 'c0005779', 'c0026821', 'c0022658', 'c0028084', 'c0037299', 'c0235378', 'c0023218', 'c0042769', 'c0221021', 'c0035410', 'c0019061', 'c0232461', 'c0037763', 'c0030552', 'c0037278', 'c0034150', 'c0034155', 'c0236024', 'c0151763', 'c0028081', 'c1262018', 'c0011849', 'c0162429', 'c1368065', 'c0003864', 'c0151539', 'c3665347', 'c0948765', 'c0009782', 'c0016655', 'c0018801', 'c0007114', 'c0702166', 'c0024299', 'c0234428', 'c0016204', 'c0917801', 'c2242996', 'c3665386', 'c0042024', 'c0235431', 'c0027121', 'c0268000', 'c0424790', 'c0003467', 'c0027051', 'c0013595', 'c0024902', 'c0085631', 'c0233472', 'c0013404', 'c0022672', 'c0042571', 'c2717961', 'c0013390', 'c0259749', 'c0043250', 'c0037274', 'c3263723', 'c0012691', 'c0009450', 'c0017675', 'c0150450', 'c0023524', 'c0152267', 'c0014034', 'c0541840', 'c0033860', 'c0240035', 'c0025345', 'c0232487', 'c0152081', 'c0221773', 'c0017160', 'c0553576', 'c0002453', 'c0004936', 'c0020557', 'c0030554', 'c0000833', 'c0085584', 'c0030305', 'c0017152', 'c0740394', 'c0236068', 'c0002994', 'c0231856', 'c0010709', 'c0877690', 'c0018681', 'c0023533', 'c0020615', 'c0013428', 'c0017567', 'c0234215', 'c0042075', 'c0040264', 'c0032285', 'c0340865', 'c0015230', 'c0022346', 'c0041912', 'c0020473', 'c0034186', 'c0038358', 'c0206062', 'c0006826', 'c0270996', 'c0549567', 'c0043094', 'c0033774', 'c0014868', 'c0011053', 'c1260926', 'c0086565', 'c0233494', 'c0019572', 'c0011991', 'c0040409', 'c0234193', 'c1306341', 'c0521839', 'c0027765', 'c0151827', 'c0014724', 'c0020461', 'c0242528', 'c0007758', 'c0427008', 'c0031350', 'c0235639', 'c2939147', 'c0042134', 'c0003862', 'c0151602', 'c1384353', 'c0438142', 'c0020433', 'c0235490', 'c0043251', 'c0233763', 'c0020456', 'c0406317', 'c0302810', 'c0033845', 'c0009806', 'c0042963', 'c0085605', 'c0040053', 'c0235416', 'c2047937', 'c0042109', 'c0029134', 'c0853692', 'c0018418', 'c0031117', 'c0423602', 'c0018099', 'c0178421', 'c0000731', 'c0013604', 'c0040822', 'c0028734', 'c0043352', 'c0015672', 'c0870082', 'c0178298', 'c0026946']"
db00093,"['db00093', 'db00781', 'db01282', 'db00035', 'db00626', 'db02638', 'db00104']","['db00093', 'db00093', 'db00781', 'db01282', 'db00035', 'db00626', 'db02638', 'db00104']"
db00104,"['db00104', 'db00626']","['db00104', 'db00104', 'db00626', 'c0041912', 'c2981158', 'c0024902', 'c0015672', 'c0032285', 'c0231530', 'c0034882', 'c0267596', 'c0232493', 'c0151786', 'c0032519', 'c0002622', 'c0085649', 'c0029882', 'c0033581', 'c0043352', 'c0232462', 'c0020461', 'c0149726', 'c0151735', 'c0033975', 'c0085631', 'c0021843', 'c0014724', 'c0040046', 'c0042029', 'c0852911', 'c0019112', 'c0001623', 'c0042267', 'c0032961', 'c0003467', 'c0030193', 'c0027765', 'c0043096', 'c0267792', 'c0233494', 'c0013604', 'c0043251', 'c0010200', 'c0019158', 'c0015376', 'c0221512', 'c3665347', 'c0018965', 'c0029408', 'c0030920', 'c0025874', 'c0700590', 'c0013428', 'c0038218', 'c0027796', 'c0036974', 'c0019270', 'c0234708', 'c0424295', 'c0085624', 'c0013395', 'c0006277', 'c0151576', 'c0003862', 'c0029445', 'c0040264', 'c0919980', 'c0085610', 'c0015230', 'c0235660', 'c0024103', 'c0014591', 'c0600142', 'c0149904', 'c0030196', 'c0232726', 'c0029877', 'c0037763', 'c0037274', 'c0032001', 'c0521839', 'c1443060', 'c0687713', 'c0392525', 'c0027769', 'c0016512', 'c0042345', 'c0018944', 'c0011849', 'c0242429', 'c0853813', 'c0020458', 'c0008325', 'c0348024', 'c1458155', 'c0344232', 'c0151908', 'c1253936', 'c0853034', 'c0011570', 'c0038367', 'c0007642', 'c0042256', 'c0553713', 'c0687133', 'c0271650', 'c0017152', 'c1167965', 'c0162287', 'c0687707', 'c0151828', 'c1112214', 'c3263723', 'c0149745', 'c0027424', 'c0948873', 'c0006147', 'c0033774', 'c0009806', 'c0003811', 'c0241513', 'c0235315', 'c0403632', 'c0232487', 'c0002871', 'c0851578', 'c2242737', 'c0016658', 'c1971624', 'c0023218', 'c0028949', 'c0036508', 'c0042109', 'c0475858', 'c0376175', 'c0010692', 'c0041834', 'c0034886', 'c0236075', 'c0857121', 'c0404521', 'c0043094', 'c0041657', 'c0001339', 'c0022346', 'c0009450', 'c0031350', 'c0028643', 'c0013447', 'c0034079', 'c0017160', 'c0031542', 'c0020538', 'c0020433', 'c0030554', 'c0036572', 'c0241863', 'c0031117', 'c0342406', 'c0853015', 'c0012833', 'c0948240', 'c0015967', 'c0042571', 'c0002453', 'c0013144', 'c0282074', 'c0278134', 'c0000737', 'c0020456', 'c0027813', 'c0853018', 'c0020676', 'c0015695', 'c0155540', 'c0005779', 'c0002170', 'c0004096', 'c2363731', 'c0011175', 'c0024523', 'c0030252', 'c0014130', 'c0542239', 'c0000731', 'c0262493', 'c0022116', 'c0020619', 'c0027441', 'c0035455', 'c0043144', 'c0438717', 'c0003123', 'c1384666', 'c0033575', 'c0018021', 'c0232849', 'c0004604', 'c0027497', 'c0231528', 'c2129214', 'c0018799', 'c0011603', 'c0030305', 'c0040822', 'c2242996', 'c0240066', 'c0018418', 'c0031256', 'c1456784', 'c0020517', 'c1291077', 'c0151671', 'c0039070', 'c0340865', 'c0002792', 'c0442874', 'c0008350', 'c0026821', 'c0037199', 'c0020580', 'c0547030', 'c0004093', 'c0558489', 'c0542008', 'c0010666', 'c0019348', 'c0008370', 'c0017178', 'c0677500', 'c0007117', 'c0009763', 'c2363730', 'c0006826', 'c0008031', 'c0022107', 'c0151849', 'c0702166', 'c0232498', 'c0027339', 'c0013404', 'c0004936', 'c0016655', 'c0042023', 'c0021400', 'c0039231', 'c0025345', 'c0006266', 'c0018802', 'c0332575', 'c0392171', 'c0016204', 'c0011848', 'c0428977', 'c0040034', 'c0948594', 'c0012359', 'c0009938', 'c0017181', 'c0016382', 'c0000729', 'c0011991', 'c0474395', 'c0018681', 'c0235750', 'c2830004', 'c0520962', 'c0040128', 'c0019360', 'c0032617', 'c0162429', 'c0022408', 'c0020615', 'c0234215', 'c0003615', 'c0178298', 'c0002884', 'c0016977', 'c0917801', 'c0231218', 'c0003864', 'c0042963', 'c0232492', 'c2711227', 'c0038238', 'c0005778', 'c0022354', 'c0699744', 'c0863093', 'c0042769', 'c0021053', 'c2047937', 'c0006840', 'c0267797', 'c0234925', 'c0011053', 'c0426576', 'c0271547']"
db00115,"['db00115', 'db00200']","['db00115', 'db00115', 'db00200']"
db00116,"['db00116', 'db00642', 'db00293', 'db06813', 'db00650', 'db00158', 'db00563']","['db00116', 'db00116', 'db00642', 'db00293', 'db06813', 'db00650', 'db00158', 'db00563']"
db00117,"['db00117', 'db00120', 'db00150', 'db00151', 'db00133', 'db02959', 'db01235', 'db00135']","['db00117', 'db00117', 'db00120', 'db00150', 'db00151', 'db00133', 'db02959', 'db01235', 'db00135']"
db00118,"['db00118', 'db00194', 'db01280', 'db00640', 'db00987', 'db00171', 'db00300', 'db00928', 'db06213', 'db01073', 'db00631', 'db00811', 'db00131']","['db00118', 'db00118', 'db00194', 'db01280', 'db00640', 'db00987', 'db00171', 'db00300', 'db00928', 'db06213', 'db01073', 'db00631', 'db00811', 'db00131']"
