side_effect,compound
db00448,c0032584
db00575,c0424024
db00734,c0235309
db06817,c0014724
db00448,c0001824
db00564,c0429098
db00811,c0162429
db00407,c0034150
db00909,c0043094
db00688,c0006846
db00537,c0547030
db00338,c1167965
db00424,c0237849
db00337,c0013456
db00303,c1260880
db00884,c0009450
db00620,c0019209
db00808,c0011849
db01129,c1704212
db00394,c1260880
db01416,c0700590
db00305,c2830004
db01242,c2364111
db01141,c0521465
db01118,c0042109
db00563,c0025162
db00357,c0030312
db01280,c0042075
db00130,c0042769
db00328,c0018681
db01208,c1257843
db00627,c0019209
db01416,c0423791
db00404,c0233494
db00853,c0020458
db01174,c0019158
db00341,c0004093
db00313,c0151599
db00843,c0039971
db06809,c0009806
db00225,c0008031
db00921,c0030232
db00712,c1368065
db01193,c0009806
db06414,c0149744
db00978,c0040479
db01085,c3665347
db00377,c0036572
db00495,c0035410
db01194,c0231218
db00417,c0023530
db01050,c0029134
db00906,c0027813
db00882,c0008925
db00400,c0018681
db01029,c0018681
db01112,c0549343
db01418,c0025323
db01105,c0027932
db00640,c0040479
db00327,c0235416
db00361,c0178298
db00193,c0476280
db01623,c0427086
db00193,c0233715
db00669,c0851578
db01195,c0004245
db01367,c1510410
db01149,c0231218
db01208,c0233632
db00666,c0018418
db00905,c0239454
db06817,c0006142
db00413,c0027962
db00297,c0232431
db00705,c0042109
db01234,c0005741
db01340,c0034150
db00776,c0014518
db01004,c0151315
db00335,c0008372
db01238,c0221203
db00603,c0428977
db06705,c0033775
db01105,c0235198
db00741,c0011991
db00445,c0231807
db00176,c0001807
db01415,c0033975
db00976,c0006849
db01274,c0037274
db00524,c0003123
db00982,c0234936
db00253,c0020517
db00273,c0030312
db00319,c0020517
db00983,c0340464
db00286,c0027765
db00357,c0013144
db01208,c0233494
db00271,c0018790
db00741,c1735864
db01229,c0239783
db01174,c0349231
db00631,c0311468
db00862,c0042798
db00091,c0232492
db01068,c0024031
db00285,c0017574
db01394,c0015672
db00903,c0003467
db01259,c0015230
db06204,c3665347
db01037,c0085932
db01197,c0392176
db00864,c0031117
db00477,c0392676
db00605,c0547030
db00929,c0034882
db00906,c0042109
db00268,c0152027
db06605,c0241558
db01115,c0040822
db00534,c0546817
db00831,c0349506
db00303,c0011603
db06772,c0017152
db00404,c0011991
db00669,c0267596
db01179,c0877094
db01041,c0030312
db00551,c0018681
db01248,c0311468
db01224,c0017675
db00977,c0006277
db00573,c0002170
db00195,c0003467
db00539,c0042373
db00736,c0740394
db00734,c0392168
db01356,c0002170
db00523,c0027441
db00624,c0042907
db00586,c0042384
db00860,c0018681
db00770,c0241558
db00555,c0013491
db00811,c0018790
db00458,c0015397
db00520,c0011127
db00814,c0041834
db00244,c0235896
db00822,c0018520
db00472,c0040409
db01186,c0020651
db00393,c0013604
db05521,c1167654
db00315,c1167965
db00631,c0005940
db01319,c0019080
db00959,c0018799
db00757,c0040264
db00920,c0687713
db00972,c0235761
db00720,c0020437
db01610,c0853149
db01059,c0575805
db00443,c0020538
db01202,c0575081
db00590,c0032617
db01590,c0025061
db06809,c0039070
db01008,c0011606
db00685,c0012833
db00472,c0040053
db00246,c0241934
db00814,c0011991
db00246,c0423791
db00814,c0013395
db00962,c0151827
db01222,c0520573
db00399,c0015230
db01291,c0015230
db01224,c0004604
db00465,c0339293
db00203,c0021053
db01083,c0015967
db00296,c0030193
db00641,c0037317
db00370,c2830004
db00273,c2364111
db00834,c0236075
db05246,c0012833
db00710,c0013378
db01164,c0232487
db01046,c0013604
db00494,c0151849
db01242,c0152027
db00788,c0017160
db00641,c0151849
db00190,c0002871
db00776,c0026827
db00535,c0036572
db01024,c0347390
db00869,c0022568
db00205,c0034068
db08887,c0039070
db00788,c0018834
db01137,c1510497
db00203,c0035326
db06589,c0151785
db00337,c0032285
db01268,c0231919
db08827,c0234913
db01105,c0010692
db00422,c0017152
db01005,c0023473
db00188,c0009938
db05294,c0027339
db00734,c0151889
db01259,c0333355
db00549,c0423798
db00915,c0009806
db01115,c0042109
db00831,c0392676
db06287,c0018799
db01062,c0016204
db00446,c0011991
db08881,c0349506
db00910,c0018799
db06698,c0037274
db00502,c0040822
db00369,c0233494
db00296,c0027497
db00426,c0011603
db00307,c0007097
db00652,c0233571
db00484,c0743680
db00327,c0085628
db00369,c0002874
db00625,c0151474
db00333,c0002792
db08907,c0085641
db00543,c0030305
db01254,c2979982
db06705,c0040586
db00659,c0013295
db01208,c0085631
db00864,c0151827
db01406,c0038325
db00678,c0555970
db01280,c0038362
db01413,c0948807
db01273,c0233514
db06228,c0018681
db01156,c0036502
db00619,c0151754
db01586,c0018681
db01595,c0020672
db00550,c0022660
db00661,c0020538
db06287,c0687713
db00373,c0086543
db00563,c0023890
db00235,c0020621
db01166,c0021400
db00195,c0235198
db06288,c0032961
db00218,c0031350
db01610,c0406834
db00422,c0151736
db00813,c0009763
db01628,c0007117
db00569,c0272285
db00975,c0240717
db00806,c0008370
db00990,c0040034
db00136,c1561643
db04868,c0009938
db00648,c0855644
db00959,c1609538
db00556,c0700590
db01331,c0027707
db01041,c0948695
db00307,c0002871
db01583,c0235431
db00624,c0017572
db00296,c0022346
db00783,c0521495
db00184,c0018801
db00285,c0232849
db01009,c0009806
db01009,c0023052
db00295,c0855775
db00486,c0015230
db01001,c0233632
db00917,c0004096
db00566,c0035455
db00332,c0080274
db00224,c0151578
db00900,c0221512
db00782,c0857257
db01128,c0086543
db01261,c0232602
db00396,c0037199
db00575,c0239385
db01155,c0009782
db00424,c0151826
db00207,c0085932
db00178,c0017160
db01004,c0001122
db00480,c0017178
db00784,c0018926
db00943,c0042963
db06701,c0241934
db01184,c0020649
db01041,c0241228
db00232,c0342579
db00788,c0009319
db00178,c0919823
db00281,c0151505
db01340,c0027497
db00185,c0043387
db01628,c0009763
db00268,c0233471
db00789,c0232462
db00455,c0004093
db00264,c0549622
db00244,c0002170
db00949,c0002874
db00402,c0151736
db01586,c0011053
db01362,c0151611
db00996,c0085606
db00323,c0005683
db06715,c0035455
db01148,c0233494
db01104,c0423791
db00999,c0034152
db00494,c1456784
db00480,c0018995
db00853,c0021053
db00268,c0042373
db00552,c0574067
db01005,c0020517
db00104,c0041912
db01217,c0030193
db00627,c0033774
db00855,c0920193
db00203,c0042075
db01580,c0234192
db01035,c0030587
db00180,c0033774
db00770,c0428977
db00975,c0020649
db01267,c0001430
db01197,c0022661
db06589,c0151539
db00642,c0206062
db00734,c0021775
db00291,c0030312
db00969,c0863090
db01208,c0040409
db00558,c0518015
db00690,c1443060
db00977,c0520588
db01184,c0039971
db00726,c0000737
db01238,c0080274
db01120,c0085631
db01324,c0011991
db00798,c0023530
db01610,c0085682
db00624,c0003621
db01137,c0151735
db01048,c0040034
db01398,c0232487
db00538,c0032285
db00564,c0340726
db00441,c2047937
db00413,c0014869
db01229,c0549567
db00749,c0030305
db01118,c0085661
db01104,c0014518
db00448,c0011849
db00744,c0232492
db00014,c0014130
db00327,c0151740
db00373,c0086981
db00231,c0424296
db00230,c0553721
db01100,c0003123
db00332,c0000737
db00480,c0855652
db08889,c0027497
